fight_id,round,opponent_1,opponent_1_power,opponent_1_resistance,opponent_1_ability_to_take_punch,opponent_2,opponent_2_power,opponent_2_resistance,opponent_2_ability_to_take_punch,opponent_1_weight,opponent_2_weight,opponent_1_rounds_boxed,opponent_2_rounds_boxed
32,3,Luis Ortiz ,88.20714076770159,56.42850526389003,63.85813425859631,Deontay Wilder,105.70554644245826,63.599648286609586,61.43748180579799,237.75,243.1,122,113
32,4,Luis Ortiz ,95.11656726524728,44.21252304232861,51.277704895841126,Deontay Wilder,96.06828982366666,51.051873400152886,49.35294328293935,237.75,243.1,122,113
32,5,Luis Ortiz ,81.30309546540053,37.72899470189355,41.94702793813274,Deontay Wilder,93.43231684869734,46.80205661167526,37.31583789756835,237.75,243.1,122,113
33,1,Joseph Parker ,78,63,82,Anthony Joshua,78,68.6,82,247.77,237.26,123,65
33,2,Joseph Parker ,86.0847615152881,63.31384223590491,69.88825666390078,Anthony Joshua,89.58076211403471,65.71132304823948,74.56170086282421,247.77,237.26,123,65
33,3,Joseph Parker ,99.13315303866057,66.4419329894273,61.63056702339482,Anthony Joshua,95.7461817377978,59.87850968509626,63.58248389464004,247.77,237.26,123,65
34,1,Vanes Martirosyan ,67,62.9,79,Gennady Golovkin,67,67,84,164.37,159.66,224,182
34,2,Vanes Martirosyan ,53.24531601304013,43.64922733994778,54.42825680516464,Gennady Golovkin,50.45991023428457,45.71623659673972,58.41875203899559,164.37,159.66,224,182
35,1,Lee Selby ,60,60.4,71,Josh Warrington,60,57.6,70,128.39,127.08,207,193
35,2,Lee Selby ,60.91380628980717,61.95784766067409,71.54953898061822,Josh Warrington,60.05055779206825,56.44581289878617,68.87293713388691,128.39,127.08,207,193
36,1,Jamie Mcdonnell ,60,58.5,77,Naoya Inoue,60,63.3,73,123.22,109.2,245,91
37,1,Sefer Seferi ,68,43.3,61,Tyson Fury,68,65.6,79,197.91,248.92,69,146
38,1,Errol Spence Jr ,82,60.8,76,Carlos Ocampo,82,51.4,79,148.6,143.08,95,120
39,1,Danny Garcia ,70,64.6,81,Shawn Porter,70,62.9,80,141.8,152.53,227,195
39,2,Danny Garcia ,70.05679460879266,64.37236914922747,80.80963268002802,Shawn Porter,74.76296623064836,61.20104334656322,82.1256027266778,141.8,152.53,227,195
39,3,Danny Garcia ,74.51503972920202,61.78132313360704,76.81468895923086,Shawn Porter,77.339123745404,56.528343999007824,78.67408185364097,141.8,152.53,227,195
40,1,Alexander Povetkin ,75,72.3,81,Anthony Joshua,75,69.4,83,235.57,237.26,224,77
41,1,Saul Alvarez ,72,59.7,85,Gennady Golovkin,72,67.3,84,153.13,159.66,364,184
41,2,Saul Alvarez ,67.18971281703774,58.25561785399541,82.34172959632788,Gennady Golovkin,81.27121066928193,68.11270902756198,81.26726256321714,153.13,159.66,364,184
41,3,Saul Alvarez ,70.898764862809,58.27137731015268,76.24128829287801,Gennady Golovkin,80.46859466949448,69.08417003391368,73.34159798434389,153.13,159.66,364,184
41,4,Saul Alvarez ,71.9983954587416,52.393115850610116,70.57979399043846,Gennady Golovkin,74.68554841193229,64.07343224848721,63.994380463158095,153.13,159.66,364,184
42,1,Yvan Mendy ,60,54.1,66,Luke Campbell,60,59.6,71,139.83,135.24,296,113
42,2,Yvan Mendy ,66.06215875670735,55.625632134937234,63.868441184297545,Luke Campbell,64.05606794751814,64.16808928935927,69.06970991260721,139.83,135.24,296,113
42,3,Yvan Mendy ,64.11142557904112,53.24536455419272,61.816330211089884,Luke Campbell,67.40587515977397,61.166982187699006,64.88011037249188,139.83,135.24,296,113
42,4,Yvan Mendy ,61.656765703559586,44.189923776584415,55.67588008609941,Luke Campbell,58.555761333928864,54.33004906254565,63.6668013893268,139.83,135.24,296,113
42,5,Yvan Mendy ,50.349812669932064,35.86415158574033,49.655268677668424,Luke Campbell,53.93835951343801,50.290492590231686,58.47559383009342,139.83,135.24,296,113
43,1,Juan Carlos Payano ,60,53.1,73,Naoya Inoue,60,64.3,73,119.18,109.2,137,92
44,1,Josh Warrington ,53,58.1,70,Carl Frampton,53,61.3,77,127.08,121.85,205,183
45,1,James Degale ,69,66.8,78,Chris Eubank Jr,69,60.9,76,168.17,161.7,198,172
46,1,Yordenis Ugas ,63,57.3,73,Shawn Porter,63,63.5,80,144.06,152.53,153,207
46,2,Yordenis Ugas ,65.9797533131768,57.962621661422105,75.49483441216151,Shawn Porter,69.47320515699333,63.19463128602738,76.52166163284869,144.06,152.53,153,207
46,3,Yordenis Ugas ,60.04631060770515,56.3388185724298,72.01172502405304,Shawn Porter,67.08227278742243,61.6992401134936,71.31435187056945,144.06,152.53,153,207
47,1,Adrian Young ,63,39.8,70,Luke Campbell,63,60,71,124.01,135.24,93,125
48,1,Mikey Garcia ,75,63.5,79,Errol Spence Jr,75,61.5,76,127.69,148.6,214,96
49,1,Andy Ruiz Jr ,71,56.7,81,Anthony Joshua,71,69.9,83,248.34,237.26,144,84
50,1,Tyson Fury ,71,66.5,86,Tom Schwarz,71,47.7,69,247.5,232.91,172,89
50,2,Tyson Fury ,54.43711164017158,45.22995724958032,55.97653518563809,Tom Schwarz,53.18633586754737,28.859064033699752,43.42547471414652,247.5,232.91,172,89
51,1,Carl Frampton ,69,61.6,77,Tyler Mccreary,69,37.6,66,121.85,132.1,195,77
52,1,Joe Hughes ,57,51.4,63,Sandor Martin,57,55.8,71,141.86,139.6,170,222
53,1,Jessie Vargas ,61,67.4,78,Mikey Garcia,61,63.8,81,143.19,128.21,241,226
54,1,Deontay Wilder ,88,63.9,83,Tyson Fury,88,66.9,86,242.4,247.5,143,186
54,2,Deontay Wilder ,100.9524162751572,66.19913085761932,75.48084546432509,Tyson Fury,111.84065717798964,67.1960423405635,73.96048840009922,242.4,247.5,143,186
55,1,Vasyl Lomachenko ,71,73.9,78,Teofimo Lopez,71,58.1,76,127.11,139.6,131,58
55,2,Vasyl Lomachenko ,64.68898327225703,81.87191413300158,80.06927486777863,Teofimo Lopez,61.90710053719409,68.20897825189653,72.6040361204202,127.11,139.6,131,58
